"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue May 07 22:36:55 GMT+03:00 2024","Tue May 07 22:37:03 GMT+03:00 2024","8126","","burgerbuildertest.BurgerBuilderTest","","burgerbuildertest.BurgerBuilderTest","goToTheStellarBurgersLogoFromForgotPasswordPageTest","goToTheStellarBurgersLogoFromForgotPasswordPageTest",""
"passed","Tue May 07 22:37:50 GMT+03:00 2024","Tue May 07 22:37:58 GMT+03:00 2024","7906","","personalcabtest.PersonalCabTest","","personalcabtest.PersonalCabTest","LogOutFromThePersonalCabTest","LogOutFromThePersonalCabTest",""
"passed","Tue May 07 22:37:58 GMT+03:00 2024","Tue May 07 22:38:03 GMT+03:00 2024","5188","","regtest.RegTest","","regtest.RegTest","regTest","regTest",""
"passed","Tue May 07 22:37:38 GMT+03:00 2024","Tue May 07 22:37:43 GMT+03:00 2024","4951","","logtest.LogTest","","logtest.LogTest","logFromRegPageTest","logFromRegPageTest",""
"passed","Tue May 07 22:37:11 GMT+03:00 2024","Tue May 07 22:37:19 GMT+03:00 2024","7559","","burgerbuildertest.BurgerBuilderTest","","burgerbuildertest.BurgerBuilderTest","goToTheStellarBurgersLogoFromLogPageTest","goToTheStellarBurgersLogoFromLogPageTest",""
"passed","Tue May 07 22:38:03 GMT+03:00 2024","Tue May 07 22:38:06 GMT+03:00 2024","3490","","regtest.RegTest","","regtest.RegTest","regWithIncorrectPasswordTest","regWithIncorrectPasswordTest",""
"passed","Tue May 07 22:37:43 GMT+03:00 2024","Tue May 07 22:37:50 GMT+03:00 2024","6784","","personalcabtest.PersonalCabTest","","personalcabtest.PersonalCabTest","goToThePersonalCabTest","goToThePersonalCabTest",""
"passed","Tue May 07 22:37:25 GMT+03:00 2024","Tue May 07 22:37:32 GMT+03:00 2024","6850","","logtest.LogTest","","logtest.LogTest","logFromForgotPasswordPageTest","logFromForgotPasswordPageTest",""
"passed","Tue May 07 22:37:19 GMT+03:00 2024","Tue May 07 22:37:25 GMT+03:00 2024","5879","","logtest.LogTest","","logtest.LogTest","logFromHeaderPersonalCabLinkTest","logFromHeaderPersonalCabLinkTest",""
"passed","Tue May 07 22:36:26 GMT+03:00 2024","Tue May 07 22:36:46 GMT+03:00 2024","19993","","burgerbuildertest.BurgerBuilderTest","","burgerbuildertest.BurgerBuilderTest","goToTheStellarBurgersLogoFromPersonalCabPageTest","goToTheStellarBurgersLogoFromPersonalCabPageTest",""
"passed","Tue May 07 22:36:47 GMT+03:00 2024","Tue May 07 22:36:55 GMT+03:00 2024","8089","","burgerbuildertest.BurgerBuilderTest","","burgerbuildertest.BurgerBuilderTest","goToTheStellarBurgersTabsTest","goToTheStellarBurgersTabsTest",""
"passed","Tue May 07 22:37:03 GMT+03:00 2024","Tue May 07 22:37:11 GMT+03:00 2024","8518","","burgerbuildertest.BurgerBuilderTest","","burgerbuildertest.BurgerBuilderTest","goToTheStellarBurgersLogoFromRegPageTest","goToTheStellarBurgersLogoFromRegPageTest",""
"passed","Tue May 07 22:37:32 GMT+03:00 2024","Tue May 07 22:37:38 GMT+03:00 2024","6408","","logtest.LogTest","","logtest.LogTest","logFromBurgerBuilderButtonTest","logFromBurgerBuilderButtonTest",""
